Change Physical Footprint: Designator=BR1 Old Footprint=GBU4M New Footprint=GBU4M
Change Physical Footprint: Designator=BR2 Old Footprint=BR_CIRCLE New Footprint=BR_CIRCLE
Change Physical Footprint: Designator=C1 Old Footprint=Cap_4*7 New Footprint=Cap_4*7
Change Physical Footprint: Designator=C2 Old Footprint=Cap_4*7 New Footprint=Cap_4*7
Change Physical Footprint: Designator=C3 Old Footprint=Cap_4*7 New Footprint=Cap_4*7
Change Physical Footprint: Designator=C4 Old Footprint=Cap_4*7 New Footprint=Cap_4*7
Change Physical Footprint: Designator=C5 Old Footprint=瓷片电容 New Footprint=瓷片电容
Change Physical Footprint: Designator=C6 Old Footprint=Cap_5*11 New Footprint=Cap_5*11
Change Physical Footprint: Designator=C7 Old Footprint=Cap_5*11 New Footprint=Cap_5*11
Change Physical Footprint: Designator=C8 Old Footprint=Cap_10*20 New Footprint=Cap_10*20
Change Physical Footprint: Designator=C9 Old Footprint=Cap_450V New Footprint=Cap_450V
Change Physical Footprint: Designator=C10 Old Footprint=瓷片电容 New Footprint=瓷片电容
Change Physical Footprint: Designator=C11 Old Footprint=Cap_450V New Footprint=Cap_450V
Change Physical Footprint: Designator=C12 Old Footprint=Cap_5*11 New Footprint=Cap_5*11
Change Physical Footprint: Designator=C13 Old Footprint=瓷片电容 New Footprint=瓷片电容
Change Physical Footprint: Designator=C14 Old Footprint=Cap_5*11 New Footprint=Cap_5*11
Change Physical Footprint: Designator=C15 Old Footprint=瓷片电容 New Footprint=瓷片电容
Change Physical Footprint: Designator=C16 Old Footprint=Cap_5*11 New Footprint=Cap_5*11
Change Physical Footprint: Designator=C17 Old Footprint=瓷片电容 New Footprint=瓷片电容
Change Physical Footprint: Designator=C18 Old Footprint=瓷片电容 New Footprint=瓷片电容
Change Physical Footprint: Designator=C19 Old Footprint=Cap_15 New Footprint=Cap_15
Change Physical Footprint: Designator=C20 Old Footprint=Cap_5*11 New Footprint=Cap_5*11
Change Physical Footprint: Designator=C21 Old Footprint=瓷片电容 New Footprint=瓷片电容
Change Physical Footprint: Designator=C22 Old Footprint=Cap_5*11 New Footprint=Cap_5*11
Change Physical Footprint: Designator=C23 Old Footprint=瓷片电容 New Footprint=瓷片电容
Change Physical Footprint: Designator=C24 Old Footprint=瓷片电容 New Footprint=瓷片电容
Change Physical Footprint: Designator=C25 Old Footprint=Cap_5*11 New Footprint=Cap_5*11
Change Physical Footprint: Designator=D1 Old Footprint=DO-41 New Footprint=DO-41
Change Physical Footprint: Designator=D2 Old Footprint=DO-41 New Footprint=DO-41
Change Physical Footprint: Designator=D3 Old Footprint=DO-41 New Footprint=DO-41
Change Physical Footprint: Designator=D4 Old Footprint=DO-41 New Footprint=DO-41
Change Physical Footprint: Designator=D5 Old Footprint=DO-41 New Footprint=DO-41
Change Physical Footprint: Designator=D6 Old Footprint=DO-41 New Footprint=DO-41
Change Physical Footprint: Designator=F1 Old Footprint=FUSE New Footprint=FUSE
Change Physical Footprint: Designator=F2 Old Footprint=FUSE New Footprint=FUSE
Change Physical Footprint: Designator=L1 Old Footprint=工字电感8*10 New Footprint=工字电感8*10
Change Physical Footprint: Designator=L2 Old Footprint=工字电感8*10 New Footprint=工字电感8*10
Change Physical Footprint: Designator=L3 Old Footprint=工字电感8*10 New Footprint=工字电感8*10
Change Physical Footprint: Designator=LED1 Old Footprint=BAT-2 New Footprint=BAT-2
Change Physical Footprint: Designator=P1 Old Footprint=CH3.96-3P New Footprint=CH3.96-3P
Change Physical Footprint: Designator=P2 Old Footprint=HDR2X4_CEN New Footprint=HDR2X4_CEN
Change Physical Footprint: Designator=P3 Old Footprint=CH3.96-3P New Footprint=CH3.96-3P
Change Physical Footprint: Designator=P4 Old Footprint=散热器_TO247 New Footprint=散热器_TO247
Change Physical Footprint: Designator=P5 Old Footprint=散热器_TO247 New Footprint=散热器_TO247
Change Physical Footprint: Designator=P6 Old Footprint=散热器_TO247 New Footprint=散热器_TO247
Change Physical Footprint: Designator=P7 Old Footprint=散热器_TO247 New Footprint=散热器_TO247
Change Physical Footprint: Designator=Q1 Old Footprint=TO-247 New Footprint=TO-247
Change Physical Footprint: Designator=Q2 Old Footprint=TO-247 New Footprint=TO-247
Change Physical Footprint: Designator=Q3 Old Footprint=TO-247 New Footprint=TO-247
Change Physical Footprint: Designator=Q4 Old Footprint=TO-247 New Footprint=TO-247
Change Physical Footprint: Designator=R1 Old Footprint=AXIAL-0.4 New Footprint=AXIAL-0.4
